cityLabel,countryLabel,population
Bria,Central African Republic,35204
Aveluma,Democratic Republic of the Congo,35158
Dikhil,Djibouti,35000
Tarkwa,Ghana,34941
Mango,Togo,34791
Swakopmund,Namibia,34300
Impfondo,Republic of the Congo,33911
Léo,Burkina Faso,33717
Chiro,Ethiopia,33670
Batouri,Cameroon,33594
Niangoloko,Burkina Faso,33500
Ben Ahmed,Morocco,33469
Butajira,Ethiopia,33406
Bafang,Cameroon,33342
Boujad,Morocco,33321
Bassar,Togo,33156
Victoria Falls,Zimbabwe,33060
Lomé,Togo,33000
Livingstone,Zambia,33000
Barawa,Somalia,32800
Sotouboua,Togo,32464
Redcliff,Zimbabwe,32346
Homa Bay,Kenya,32174
Al Ibrāhīmīyah,Egypt,32167
Malika,Senegal,32130
Goba,Ethiopia,32025
Kumba,Cameroon,31672
Nanyuki,Kenya,31577
Bangassou,Central African Republic,31453
Savé,Benin,31444
Zeghanghane,Morocco,31431
Areka,Ethiopia,31408
Banjul,The Gambia,31356
Sébikotane,Senegal,31101
Gimbi,Ethiopia,30981
Babati,Tanzania,30975
Husseiniya,Egypt,30825
Busia,Kenya,30777
Haramaya,Ethiopia,30728
Irgalem,Ethiopia,30348
Kédougou,Senegal,30051
Degehabur,Ethiopia,30027
Kericho,Kenya,30023
Mutsamudu,Comoros,30000
Moroni,Comoros,29916
Pout,Senegal,29874
Selouane,Morocco,29628
Bafatá,Guinea-Bissau,29556
Dembi Dollo,Ethiopia,29448
Sheikh Zayed City,Egypt,29422
Rahmaniya,Egypt,29393
Namaacha,Mozambique,29272
Singida,Tanzania,29258
Nola,Central African Republic,29181
Welkite,Ethiopia,28866
Metu,Ethiopia,28782
Smara,Morocco,28750
Smara,Western Sahara,28750
Katima Mulilo,Namibia,28699
Manga,Burkina Faso,28612
Mendefera,Eritrea,28492
Grand-Lahou,Ivory Coast,28470
Mahmoudiyah,Egypt,28277
Fatick,Senegal,28276
Safaga,Egypt,28261
Otjiwarongo,Namibia,28249
Aného,Togo,28238
Ouésso,Republic of the Congo,28179
Bignona,Senegal,27826
Bongor,Chad,27770
Mboro,Senegal,27693
Fiche,Ethiopia,27493
Cyangugu,Rwanda,27416
Sébikotane,Senegal,27402
El-Tod,Egypt,27357
Zalingei,Sudan,27258
Niamtougou,Togo,27132
New Damietta,Egypt,27028
Limbe,Cameroon,26988
Halaba Kulito,Ethiopia,26867
Makeni,Sierra Leone,26781
Qaha,Egypt,26694
Sassandra,Ivory Coast,26608
Karnak,Egypt,26488
Segbana,Benin,26440
Kalfou,Cameroon,26223
Oum Hadjer,Chad,26136
Santa Maria,Cape Verde,25779
Koulamoutou,Gabon,25651
Palma,Mozambique,25627
El Taref,Algeria,25594
Holeta Genet,Ethiopia,25593
